S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
1,Reliance Industr,2956.4,295.64,2000245.18,925289,2.16,78207,101.61,29.10,0.34,2.52,5331706,10,1172.8,-17.88,676.58,0.58
2,TCS,4416.05,4416.05,1597765.54,244125,6.54,47084,129.2,33.57,1.25,17.66,3640497,1,250.1,-3.18,361.81,0.09
3,HDFC Bank,1632.1,1632.1,1243251.09,314027.08,3.96,70231.3,89.75,18.24,1.19,2.72,14902309,1,600.76,-4.58,761.75,6.81
4,Bharti Airtel,1483.55,296.71,887238.44,151048.8,5.59,11755.3,17.7,74.29,0.54,10.23,7444999,5,145.04,128.10,569.3,2.63
5,ICICI Bank,1187.25,593.63,835622.95,166991.68,5.00,47528.87,64.56,18.44,0.84,3.25,11700816,2,364.76,2.15,703.83,6.45
6,Infosys,1858.95,371.79,771841.33,155053,4.98,26677,64.21,28.96,2.04,9.29,7656832,5,200.07,-20.08,415.2,0.10
7,St Bk of India,812.1,812.1,724767.74,455970.95,1.59,70543.44,76.05,9.94,1.69,1.75,12195965,1,464.94,-9.50,892.46,13.51
8,Life Insurance,1057.3,105.73,668742.01,868137.84,0.77,41777.46,66.13,16.01,0.95,8.08,2726587,10,130.83,-23.63,632.5,0.00
9,Hind. Unilever,2748.25,2748.25,645726.42,62107,10.40,10338,43.98,62.48,1.53,12.61,1888631,1,217.99,1.99,234.96,0.03
10,ITC,502.65,502.65,628524.14,72173.87,8.71,20738.74,16.38,30.73,2.74,8.42,14118599,1,59.68,-0.26,1250.42,0.00
11,Larsen & Toubro,3568.35,1784.18,490593.92,228350.36,2.15,15896.19,97.13,36.91,0.78,5.68,2951082,2,628.22,-31.29,137.48,1.35
12,HCL Technologies,1668.25,834.13,452707.18,111674,4.05,16438,60.53,27.56,3.12,6.63,3197923,2,251.55,6.61,271.37,0.08
13,Sun Pharma.Inds.,1742.75,1742.75,418144.10,49208.76,8.50,10464.89,43.3,39.66,0.77,6.57,2291797,1,265.35,7.59,239.93,0.05
14,O N G C,329.6,65.92,414646.00,645790.17,0.64,49419.99,35.37,9.10,3.72,1.23,17882045,5,267.94,-11.20,1258.03,0.45
15,Bajaj Finance,6590.9,3295.45,407974.28,58566.7,6.97,14926.26,242.47,27.33,0.55,5.34,811975,2,1234.23,2.29,61.9,3.84
16,Tata Motors,1098.35,549.18,403224.39,443739.38,0.82,34198.51,101.59,11.87,0.27,4.30,12036154,2,255.49,-67.53,332.4,1.26
17,NTPC,398.05,39.81,385975.80,183946.36,2.10,21931.39,22.08,18.03,1.95,2.40,14518280,10,165.74,-15.16,969.67,1.48
18,Maruti Suzuki,12213.3,2442.66,383989.30,145102.7,2.65,14704.8,472.62,26.11,1.02,4.48,587235,5,2723.77,-4.87,31.44,0.00
19,Axis Bank,1166.85,583.43,360743.16,117671.83,3.07,26846.29,86.63,13.50,0.09,2.29,6566751,2,508.73,-15.24,309.16,8.25
20,Adani Enterp.,3108.8,3108.8,354403.55,102219.98,3.47,4430.6,35.27,85.29,0.04,9.07,1014026,1,342.77,403.13,114,1.67
21,Kotak Mah. Bank,1777.3,355.46,353318.58,59204.49,5.97,21511.18,108.22,18.95,0.11,2.72,3125723,5,653.81,39.55,198.8,4.00
22,M & M,2840.45,568.09,353218.15,142404.36,2.48,12131.73,88.8,31.99,0.74,5.34,4623030,5,532.28,13.47,124.35,1.64
23,Avenue Super.,5021.3,502.13,326752.60,52992.53,6.17,2650.58,40.74,123.28,0.00,17.48,198213,10,287.33,37.39,65.07,0.03
24,UltraTech Cem.,11295.7,1129.57,326103.83,71240.6,4.58,7008.96,242.93,46.35,0.62,5.41,449961,10,2086.22,-24.94,28.87,0.19
25,Adani Ports,1493.45,746.73,322605.95,28022.6,11.51,9091.84,42.17,32.34,0.40,6.11,2149688,2,244.33,54.22,216.01,0.94
26,Hind.Aeronautics,4769.8,953.96,318992.30,30813.07,10.35,8216.44,122.86,38.82,0.73,10.98,2980409,5,434.32,-66.55,66.88,0.00
27,Coal India,512.3,51.23,315716.57,142805.38,2.21,36552.18,59.34,8.65,4.98,3.82,7627587,10,134.24,26.65,616.27,0.08
28,Power Grid Corpn,338.6,33.86,314918.45,45801.15,6.88,15699.92,16.88,20.06,3.32,3.61,13620119,10,93.7,-10.62,930.06,1.42
29,Titan Company,3444.75,3444.75,305820.14,52453,5.83,3455,38.91,88.54,0.32,32.56,1244423,1,105.8,-7.26,88.78,1.65
30,Asian Paints,3048.15,3048.15,292377.87,35282.15,8.29,5169.64,52.96,57.56,1.09,15.61,547666,1,195.25,-6.94,95.92,0.13
31,Adani Green,1831,183.1,290036.35,9893,29.32,1566,7.73,215.37,0.00,38.69,919940,10,47.32,102.90,158.4,8.65
32,Bajaj Auto,9888.15,988.82,276057.13,46490.59,5.94,8005.89,284.77,34.48,0.81,9.53,244421,10,1037.41,-3.46,27.92,0.07
33,Wipro,516.25,258.13,270023.24,88893.1,3.04,11262.7,21.39,24.16,0.19,3.62,13375875,2,142.64,6.24,523.05,0.22
34,Adani Power,697.4,69.74,268982.92,54301.34,4.95,15982.16,41.44,16.83,0.00,6.23,16548902,10,111.86,42.95,385.69,0.80
35,Siemens,7188.7,3594.35,256004.17,19899.6,12.86,2424.4,68.08,105.59,0.14,18.41,418021,2,390.55,-40.81,35.61,0.01
36,Bajaj Finserv,1549.9,1549.9,247466.66,118581.86,2.09,16095.22,52.28,29.66,0.06,4.10,1893642,1,378.12,3.04,159.67,4.79
37,Nestle India,2525.45,2525.45,243493.07,19718.78,12.35,3244.46,33.65,75.22,0.61,72.88,1065123,1,34.65,-20.08,96.42,0.10
38,I O C L,167.17,16.72,236064.74,771645.99,0.31,32148.48,21.83,7.66,7.18,1.29,11589923,10,129.89,-32.17,1412.12,0.72
39,I R F C,178.77,17.88,233625.68,26742.42,8.74,6442.95,4.93,36.26,0.84,4.60,23072406,10,38.85,-8.18,1306.85,8.02
40,Zomato Ltd,264.43,264.43,233411.97,13904,16.79,602,0.69,387.73,0.00,11.43,44550045,1,23.14,44.57,882.7,0.04
41,Trent,6502.4,6502.4,231152.17,13851.18,16.69,1702,47.99,184.52,0.05,56.83,1186643,1,114.43,-45.06,35.55,0.43
42,JSW Steel,908.45,908.45,222157.27,175736,1.26,7412,29.93,31.90,0.80,2.86,2440583,1,317.61,-34.42,244.55,1.13
43,Bharat Electron,303.3,303.3,221705.59,20978.87,10.57,4237.92,5.8,52.33,0.73,13.58,22009073,1,22.34,-55.96,730.98,0.00
44,Hindustan Zinc,519.9,259.95,219674.33,29782,7.38,8175,19.35,26.87,2.50,14.42,12258836,2,36.05,15.48,422.53,0.57
45,DLF,866.9,433.45,214584.77,6366.12,33.71,2842.09,11.5,75.50,0.58,5.44,9109690,2,159.3,-29.91,247.53,0.12
46,Jio Financial,328.15,32.82,208483.02,1857.57,112.23,1585.26,2.5,131.51,0.00,1.50,18235588,10,219.02,0.64,635.33,0.00
47,Tata Steel,149.52,149.52,186653.70,224452.51,0.83,-4515.89,-3.39,115.70,2.41,2.03,57918967,1,73.73,65.64,1248.35,0.95
48,Varun Beverages,1421.85,284.37,184762.07,18052.38,10.23,2467.63,18.65,76.26,0.18,21.54,4919955,5,66.01,130.27,129.94,0.79
49,Grasim Inds,2600.35,1300.18,174868.73,133774.04,1.28,9617.03,78.5,32.14,0.38,1.93,739383,2,1346.32,-16.68,65.85,1.55
50,SBI Life Insuran,1688.9,168.89,169156.32,138746.12,1.22,2032.26,20.29,83.24,0.16,10.86,733174,10,155.46,-35.93,100.16,0.00
51,Vedanta,429.05,429.05,167775.20,145759,1.15,9323,14,26.72,6.88,5.19,10148558,1,82.65,123.96,391.04,2.85
52,A B B,7911.2,3955.6,167644.95,11437.9,14.66,1604.31,75.71,104.16,0.30,26.43,387986,2,299.27,-3.44,21.19,0.01
53,Power Fin.Corpn.,504.25,50.43,166407.63,94820.99,1.75,27661.1,62.81,8.03,2.68,1.65,10714340,10,306.5,-4.95,330.01,8.52
54,Interglobe Aviat,4277.7,427.77,165191.06,71792.03,2.30,7806.95,202.27,21.16,0.00,85.46,732731,10,50.05,43.97,38.62,26.54
55,LTIMindtree,5563.75,5563.75,164783.31,35957.5,4.58,4567.4,154.18,36.10,1.17,8.23,466190,1,675.88,3.13,29.62,0.10
56,Ambuja Cements,640.5,320.25,157763.06,32758.22,4.82,4392.2,15.56,49.61,0.31,3.64,1014706,2,175.98,-48.25,246.31,0.02
57,Pidilite Inds.,3057.35,3057.35,155499.68,12503.23,12.44,1845.01,35.95,82.82,0.52,18.50,242391,1,165.3,87.74,50.86,0.05
58,Tech Mahindra,1585.3,317.06,155030.76,51842,2.99,2558,25.77,61.60,2.52,5.81,3409513,5,273.04,30.20,97.79,0.10
59,GAIL (India),232.55,23.26,152903.94,135177.6,1.13,11293.19,17.17,13.55,2.37,1.99,11448074,10,117.1,28.66,657.51,0.28
60,REC Ltd,579.65,57.97,152634.83,49495.85,3.08,14637.6,55.59,10.43,2.76,2.09,7084634,10,276.98,-15.17,263.32,6.41
